*bruski	browbeat
kunhelpa	cooperative
kunhelpanto	accessory, helpmate
kunhelpe	cooperatively
kunhelpi	to abet, cooperate, help together / provide help
kunhelpinto	assistant, helper
kunhelpo	assistance, help, aide
kunhelpoado	cooperation
kunhomo	fellow human being, neighbor
kuni	to conjoin, put together
kuniga	connecting
kuniga ekkrampo	opening brace, {
kuniga finkrampo	closing brace, }
kuniga histo	connective tissue
kuniga informpeto	union query
kuniga krampo	brace
kunigado	multiplexing
kunigaj krampoj	curly braces, {}
kunigaĵo	union
kunigi	join, unite / to annex, connect, unite, join together, couple, splice, merge
kunigi en faskon	to bundle
kunigi node	to tie on
kunigi siajn ideojn	to collect one’s thoughts
kunigilo	multiplex
kunigita	muxed
kunigo	annexation, conjunction, joining, connection, union, junction, merging
kuniklejo	rabbit hutch, warren
kunikleto	bunny
kuniklo	rabbit
kuniklostalo	rabbit hutch / rabbit-hutch
kuniranto	companion (on a trip, journey), fellow traveler
kuniri	to go with
kuniĝado	convergence
kuniĝi	associate, come together, join, pool
kuniĝo	joining, junction
kunjungitaĵo	set of draft horses
kunkajigo	&-introduction
kunkantado	sing-along
kunkanti	to accompany, sing along with
kunkapitala entrepreno	joint venture
kunkateni	to shackle
kunkrimulo	accomplice
kunkudraĵo	seam
kunkudri	to sew together
kunkudro	seam
kunkuiraĵo	concoction
kunkulpa	accessory
kunkulpeco	complicity
kunkulpulo	abetter, accessory, accomplice / abettor, accessory, accomplice
kunkura	concurrent
kunkura funkciado	concurrent process
kunkuro	concurrency
kunlabora	collaborative, cooperative
kunlabora komputado	collaborative computing
kunlabora lumbildo	collaborative slide
kunlabora plurtaskado	cooperative multitasking
kunlabora produktado	commons-based peer product, peer production
kunlabora sistemo	collaborative system
kunlaborado	collaboration
kunlaboranto	fellow worker, co-worker / collaborator
kunlabore	cooperatively
kunlabori	cooperate, co-operate / to collaborate, cooperate
kunlaboro	collaboration
kunlernanto	schoolfellow
kunliga vorteto	conjunction
kunligaĵo	composition product
kunligi	connect, join
kunligo	connection
kunliverita	inbox (driver)
kunliverita pelilo	in-box driver
kunlokigado de ekipaĵo	colocation
kunlokigejo de ekipaĵo	colocation center
kunloĝantejo	dormitory
kunloĝanto	co-occupant
kunloĝi	to cohabit, live together
kunludanto	fellow player
kunludi	to accompany / play together
kunmanĝanto	messmate
kunmanĝi	to mess
kunmetado	building, construction, collation
kunmetaĵo	assemblage, build, combination, compound, construct, construction / concoction
kunmeti	put together
kunmetilo	assembler
kunmetita	aggregate, assembled, composite, compound
kunmetita dosiero	compound file
kunmetita dosierujo	compound file directory
kunmetita signo	composite character
kunmetitaĵo	combination
kunmeto	composition, concatenation, join, mixture
kunmetordo	collating sequence
kunmezurebla	commensurable
kunmiksi	to combine
kunmunti	to assemble
kunnaskita	congentital, inborn, inbred, innate, native / congenital, inborn, inbred, innate, native
kunnomumi	to duplicate
kunokaze	coincidentally
kunokazeco	coincidence
kunordiga	coordinating
kunordiga klasifiko	merge sorting
kunordiga konjunkcio	coordinating conjunction
kunordiga servilo	tracker
kunordigi	coordinate, co-ordinate / to coordinate, merge, track (torrent)
kunordigo	coordination
kunparolanto	conversation partner, interlocutor
kunparoli	to speak together
kunplekti	to entwine, interweave
kunporti	to bring along, take along
kunpremado	constriction, squeeze
kunpremebla	compressible
kunpremegi	to squash, squeeze
kunpremi	to compress, squeeze together
kunpremilo	compressor
kunpremo	compression
kunpreni	to bring along, take (with oneself)
kunprogramo	coroutine
kunproksimiĝi	to huddle
kunpuŝiĝi	to collide
kunpuŝiĝo	collision
kunrespondi	to correspond
kunrespondo	connection
kunrimi	to rhyme
kunrula	concurrent, multitasking
kunrula procezo	concurrent process
kunrulaj procezoj	concurrent processes
kunrulo	concurrency, multiprogramming
kunsenco	connotation
kunsendaĵo	attachment, enclosure
kunsendi	to enclose
kunsenta	sympathetic
kunsente	sympathetically
kunsentema	sympathetic
kunsenti	to feel together
kunsento	sympathy
kunsidantaro	assembly
kunsidi	to meet
kunsido	session, meeting
kuntara	gross
kuntara pezo	gross weight
kunteksta helpo	context help
kunteksta kampo	context field
kunteksta menuo	context menu
kunteksteco	contextuality
kuntekstigi	to contextualize
kunteksto	context
kuntekstohava gramatiko	context-sensitive grammar
kuntekstohava lingvo	context-sensitive language
kuntena	non-breaking
kuntena streketo	nonbreaking hyphen
kunteniĝi	to hold together, cohere
kunteniĝo	cohesion
kuntira	astringent
kuntiri	to draw together, pull together / tighten
kuntiriĝi	to contract, cower, shrink
kuntiro	contraction
kuntreni	to bring with it
kuntreniĝi	to involve
kuntreniĝo	involvement
kuntuŝiĝi	to adjoin, touch
kunularo	company / fellowship
kunuleco	companionship, comradeship, fellowship
kunulino	companion
kunulo	companion
kunumado	being together
kunuzi	to share
kunvarianco	covariance
kunvenejo	meeting place, rendezvous, resort
kunvenestro	moderator (meeting)
kunveni	to assemble, congregate, gather, meet
kunvenigi	to bring together, muster, take along
kunvenintaro	assemblage
kunveno	assemblage, gathering, meeting
kunveturi	to travel together
kunvivado	cohabitation
kunvivantino	partner
kunvivanto	cohabitee, partner
kunvivi	to cohabit, live together / huddle; live together
kunvojaĝanto	companion (traveling) / travel companion
kunvojaĝi	to travel together
kunvoki	to assemble, call together, convoke
kunvokitaro	convocation
kunvoko	parade, roll-call / convocation, parade, roll call
kunvulsio	convulsion
kunĵuri	to conspire
kunŝovi	to kern
kunŝovo	kerning (font), overhang
kuo	Q / q
kupeo	compartment, coup@ / coupé
kupido	cupid
kuplado	feedback
kupleto	couplet
kupli	couple
kuplilo	coupler, coupling / clutch
kupliretro	feedback
kuplita	coupled, cluster
kuplita retadaptilo	cluster adapter
kupo	cupping glass
kupokso	cowpox
kupolo	cupola, dome
kupono	coupon
kupra	copper
kupraĵo	brassware
kupreca	coppery
kuprepoko	copper age
kupri	to copperplate
kupristo	coppersmith
kupro	copper (metal)
kuproepoko	copper age
kuprokolora	copper, coppery
kupromonero	copper
kupropirito	chalcopyrite
kupulo	cupule
kuraca	medical; curative
kuraca gimnastiko	physiotherapy
kuracado	(course of) treatment
kuracarto	therapeutics / healing arts
kuracato	sick person, patient
kuracebla	curable
kuracejo	health resort, nursing home, sanatorium
kuracherbo	medicinal herb
kuraci	care for, cure, treat / to care for, cure, heal, remedy, treat
kuracilejo	dispensary
kuracilo	cure, remedy, drug, medicine, pharmaceutical
kuracistino	physician, doctor
kuracisto	doctor, physician
kuraciĝi	to heal
kuracloko	spa, health resort
kuraco	cure (act of curing)
kuracplanto	medicinal plant
kuradi	to keep on running
kurado	running
kuranta	actual, current
kuranta dosierujo	current directory, current working directory, working directory, working folder
kuranto	runner
kuraro	curare
kurataki	to assault, storm
kuratako	assault, storming / assault, charge, storming
kuratoreco	curatorship, trusteeship
kuratoro	conservator, curator, guardian, trustee / custodian
kuraĝa	brave, courageous, valiant
kuraĝanima	brave
kuraĝanime	bravely, boldly
kuraĝe	courageously
kuraĝeco	fortitude
kuraĝega	intrepid
kuraĝege	fearlessly
kuraĝegeco	prowess
kuraĝi	be bold, dare / to be bold enough (to), dare, have courage, venture to
kuraĝi batali kontraŭ	dare to fight, stand up to
kuraĝi entreprenas	(kuraĝi entrepreni) to dare, venture
kuraĝi entrepreni	to dare, venture
kuraĝiga	heartening, supportive / encouraging
kuraĝige	supportively
kuraĝigi	encourage
kuraĝigo	encouragement
kuraĝiĝi	to embolden, encourage
kuraĝo	courage
kuraĝulo	brave person
kuraĝus	would dare to
kuraĥo	currach
kurba	bent, curved
kurba krampo	brace
kurba paragrafo	section sign
kurbbastono	Episcopal staff
kurbeco	curvature, curve
kurbecocentro	center of curvature
kurbecocirklo	circle of curvature
kurbecoradiuso	radius of curvature
kurbecradiuso	radius of curvature
kurbflugo	curving flight
kurbigi	bend
kurbigi arkon	to bend a bow
kurbiĝadi	to twist
kurbiĝi	bend
kurbiĝo	bend, crook, curve, turn
kurbkrua	bow-legged
kurbo	bend, curve
kurboplena	twisting
kurda	Kurdish
kurdo	Kurd
kuregado	stampede
kuregi	to race, run
kuregisto	runner
kurego	dash, race, stampede
kurejo	course, race-course, track, running track / course, racecourse, track, running track
kuremulino	woman who likes to run
kuremulo	person who likes to run
kurentintenseco	amperage
kurentintenso	electric current
kurentmalŝalto	power off
kurento	current (electric), power (energy)
kurentomastrumado	power management
kurentoskemo	power scheme
kurentpaneo	power failure
kurentprovizi	to apply power to
kurentprovizo	power supply
kurentŝalto	power on
kureti	jog
kurhundeto	whippet
kuri	to run
kuri laŭ la ĝusta direkto	to run in the right direction
kuriero	courier
kurierŝipo	packet boat, transporter
kurigi	to cause to run, make run
kurilo	cooker
kurio	curia
kurioza	curious, interesting, quaint
kuriozaĵo	curio, curiosity, oddity
kuriozeco	singularity, oddity
kuristo	runner
kuriumo	curium
kurkulio	curculio, weevil
kurkumino	curcumin
kurkumo	turmeric
kurlingisto	curler
kurlingo	curling
kurlo	curlew
kuro	course (race)
kuro de la rivero	course of the river
kuro kontraŭ la tempo	race against time
kursadi	to circulate
kursado	circulation, run
kursano	course participant
kursaviadilo	air liner
kursgvidanto	teacher of a course
kursilo	router
kursiva	italic (font, writing)
kursive presita	printed in italics
kursivigi	to italicize
kursivigita	italicized
kursivita	italicized
kursivo	cursive, italic / italics
kurso	class, course
kursomaterialo	course material
kursoro	cursor
kurspaĝaro	course website
kursvaro	courseware
kursŝanĝi	to reroute
kurta	short
kurtaĝo	broker commission, broker fee, brokerage
kurtaĵo	hot key
kurtena	curtain; dropdown, drop-down, combo (box)
kurtena listo	drop-down list, combo box
kurtena menuo	drop-down box, drop-down menu
kurteno	curtain
kurtenstango	curtain rod
kurtigi	to abbreviate, shorten
kurtino	curtain
kurtonda	short-wave
kurtvojo	shortcut
kuru	fast forward
kuruko	garden warbler
kurvo	curve
kurvojo	jogging path
kurzo	exchange rate, rate of exchange
kurĉatovio	Kurchatovium
kurĉevalo	racehorse
kusenego	thick comforter used as a bed covering
kuseneto	pad
kusenlito	pillow
kuseno	cushion
kusensako	cushion cover, pillow case
kusentegilo	cushion cover, pillow case
kusentego	cushion cover, pillow case
kusenveturilo	hovercraft
kusineto	bolster, bush
kuskuso	couscous
kuskuto	dodder
kuspi	to brush against the grain, roll up
kuspnaza	snub-nosed
kustardo	cream, custard
kutima	accustomed, customary, used to, usual, wonted / accustomed, customary, used to, usual, conventional, familiar, habitual, usual, common, conventional
kutima instalo	standard installation
kutime	ordinarily, usually
kutimeto	familiarity
kutimi	accustom, be in the habit of / to accustom, be accustomed to, be in the habit of / be used to
kutimigi	to accustom, familiarize, habituate, inure
kutimita	accustomed to, used to
kutimiĝi	to accustom oneself, get used to
kutimiĝo	adjustment
kutimo	custom, habit, way
kutro	cutter
kuvajta	Kuwaiti
kuvajtano	Kuwaiti
kuvego	vat
kuveto	basin, bowl
kuvo	tub, vat
kuvoeto	tub
kuŝa	recumbent
kuŝado	lying
kuŝbenko	bunk
kuŝbiciklo	recumbent (bicycle, bike)
kuŝe	secretly, secretively, in secret, in hiding
kuŝejo	couch, berth (ship), litter (animals), lair
kuŝemulo	truant
kuŝi	lie, recline
kuŝi antaŭe	to lie ahead
kuŝi dise sur la table	to lie scattered on the table
kuŝi supre sur	be on top of, lay on top of
kuŝigi	lay
kuŝiĝeti	to nestle
kuŝiĝi	to go to bed, rest, lie down
kuŝoseĝo	couch, divan
kuŝujo	bed (river)
kvad	sqr (square)
kvadranto	quadrant
kvadrata	quadrate, quadratic, square
kvadrata matrico	square matrix
kvadrata mejlo	square mile
kvadrata metro	square meter
kvadrata mezumo	quadratic mean
kvadratangule	in a square (pattern)
kvadrategala	idempotent
kvadratigi	to square, make square
kvadratita	checked, chequered / checked, checkered
kvadratmejlo	square mile
kvadrato	quadrate, quadrature, square
kvadraturo	quadrature
kvadrigo	chariot, quadriga
kvadriko	quadric
kvadrilo	quadrille
kvadro	ashlar
kvadroŝtono	ashlar
kvago	quagga
kvajzoj	chopsticks
kvakado	honking
kvakera	Quaker
kvakero	Quaker
kvaki	to croak, quack
kvako	croak, honk, squawk
kvalifi	to qualify
kvalifika	qualified, qualifying
kvalifiki	to qualify
kvalifikita	able
kvalifikiĝi	to be eligible / become qualified (to)
kvalifikiĝo	qualification
kvalifiko	ability, qualification
kvaliteco	qualification
kvalitigi	to qualify
kvalitkontrolo	quality assurance, quality control
kvalito	property, quality
kvalitokontrolo	quailty assessment, quality control
kvankam	though, although
kvanteca	quantitative
kvantesprimo	expression of quantity
kvanto	quantity
kvantoro	quantifier
kvantumigi	to quantumize
kvantummekaniko	quantum mechanics
kvantummeĥaniko	quantum mechanics
kvantumo	quantum
kvantumteorio	quantum theory
kvar	four
kvara	fourth
kvarangula	quadrangular
kvarangulaĵo	quadrangle
kvarangulo	quadrangle
kvaranteni	to be quarantined
kvaranteno	quarantine
kvarco	quartz, rock-crystal
kvardek	forty
kvardeka	fortieth
kvare	fourthly
kvaredro	tetrahedron
kvarfoje	four times
kvarko	quark
kvarkura	four-legged
kvarlampa	four-tube
kvarlatero	quadrilateral
kvarliteraĵo	tetragraph
kvarmonate	four-monthly
kvaro	foursome
kvarobla	quadruple
kvarobligi	to square (math)
kvarolo	quadruplet
kvarona noto	crotchet
kvaronarierulo	quarterback
kvaronbuŝelo	quarter bushel
kvaronhoro	quarter of an hour
kvaronjara	quarterly
kvaronjare	quarterly
kvaronjaro	quarter
kvarono	fourth
kvaronujo	quarter
kvaronumi	to quarter, cut into four pieces
kvarope	by fours
kvaropo	quadruple, quadruplet(s)
kvarpieda	four-legged, quadruped
kvarpiede	on all fours
kvarpiedulo	quadruped
kvarrada	four-wheel
kvartakta motoro	four-cycle engine
kvartalaĉo	back street, slum
kvartalo	district, neighbourhood, quarter / district, neighborhood, quarter, ward
kvartermo	quadrinomial
kvarteto	quartet
kvartiro	billet
kvarto	fourth / quart
kvasio	quassia
kvaso	kvass
kvassupo	kvass (soup)
kvasto	tassel
kvaternara	Quaternary
kvazaro	quasar
kvazaŭ	as if, as though, in a way
kvazaŭ sur la manplato	as though on the palm of my hand
kvazaŭ tondrofrapita	(as if) thunderstruck
kvazaŭa	seeming, quasi-
kvazaŭdecmora	demure
kvazaŭdiri	to insinuate, suggest
kvazaŭe	almost, as it were
kvazaŭfreneza	nutty
kvazaŭhomo	manikin
kvazaŭkompakta	quasicompact (space)
kvazaŭkunrulo	quasi-concurrency
kvazaŭmilita	paramilitary
kvazaŭparalelado	quasi-parallel processing, pseudoparallelism
kvazaŭpruda	demure
kvazaŭstokasta	pseudorandom
kvazaŭstokasto	pseudo-random function, pseudorandom number
kvazaŭtrupoj	paratroops
kvazaŭvokalo	semivowel
kvazaŭĉasta	demure
kvelao	kwela
kver	transverse
kver-	transverse
kverelado	altercation, dispute, quarreling, squabbling, wrangling
kverelema	cantankerous, quarrelsome
kvereli	to quarrel, wrangle
kvereliga	contentious, controversial
kverelo	quarrel
kverelulo	brawler
kveri	to coo
kverka	oak, oaken
kverkejo	oak-wood
kverko	oak
kverkoligno	oak, oak-wood
kverpanelo	flag
kvestisto	mendicant friar
kvestoro	quaestor, questore
kvieta	calm, quiet
kviete	quietly, leisurely
kvietebla	placable
kvieteco	calmness, quietness
kvietega	impassive
kvietema	placable
kvietiga	soothing
kvietigi	to allay, calm, lull, quench (thirst), quiet, soothe, tame / silence
kvietigo	abatement, alleviation, appeasement
kvietismo	quietism
kvietiĝi	abate, subside
kvietiĝo	abatement, respite
kvietmaso	rest mass
kvieto	calm, quiet, silence
kviettemperamenta	staid
kvikstepo	quickstep
kvin	five
kvina	fifth
kvinangulo	pentagon
kvinanokte	on, during the fifth night
kvincent	five hundred
kvindek	fifty
kvindekjara	fifteen year-old
kvine	fifthly
kvinedro	pentahedron
kvinjambo	iambic pentameter
kvinkunkso	quincunx
kvinlatero	pentagon
kvinoble	five times, fivefold / five times as much
kvinolo	quintuplet
kvinono	fifth
kvinoo	quinoa
kvinope	by fives
kvinopo	quintuple
kvintalo	quintal
kvintesenca	quintessential
kvintesenco	quintessence
kvinteto	quintet
kvinto	fifth
kvintona	pentatonic
kvislingo	quisling
kvita	even, paid up, paid-up
kvitanca	acknowledging
kvitanca mesaĝo	handshake message
kvitanca reĝimo	handshaking
kvitanca signo	acknowledge character, ACK
kvitanci	to acknowledge receipt of something
kvitanco	quittance, (acknowledgment of) receipt
kvitigi	to clear, release from debt / acquit
kvitigo	acquittal
kvitiĝi	to settle, square up
kvitiĝo	account, settlement
kviviti	to chatter, twitter, warble, peep, tweet, pipe, chirp
kvizo	quiz
kvocienta	quotient
kvocienta aro	quotient set
kvocienta frakcio	common fraction, vulgar fraction
kvocienta grupo	factor group, quotient group
kvocienta ringo	quotient ring
